Name;Country;Lineage;Drug;Collected_Date
SRR4033821;South Africa;lineage 2;Sensitive;2013-10
SRR4033822;South Africa;lineage 4;Sensitive;2013-08
SRR4033823;South Africa;lineage 2;Sensitive;2013-10
SRR4033824;South Africa;lineage 2;Sensitive;2013-10
SRR4033825;South Africa;lineage 2;Sensitive;2013-10
SRR4033826;South Africa;lineage 2;Sensitive;2013-10
SRR4033827;South Africa;lineage 2;Sensitive;2013-10
SRR4033828;South Africa;lineage 2;Sensitive;2013-10
SRR4033829;South Africa;lineage 2;Sensitive;2013-10
SRR4033830;South Africa;lineage 2;Sensitive;2013-10
SRR4033831;South Africa;lineage 2;Sensitive;2013-10
SRR4033832;South Africa;lineage 2;Sensitive;2013-10
SRR4033833;South Africa;lineage 4;Sensitive;2013-08
SRR4033834;South Africa;lineage 2;Sensitive;2013-10
SRR4033835;South Africa;lineage 2;Sensitive;2013-10
SRR4033836;South Africa;lineage 2;Sensitive;2013-10
SRR4033837;South Africa;lineage 2;Sensitive;2013-10
SRR4033838;South Africa;lineage 2;Sensitive;2013-10
SRR4033839;South Africa;lineage 2;Sensitive;2013-10
SRR4033840;South Africa;lineage 2;Sensitive;2013-10
