Name;Country;Lineage;Drug;Collected_Date
SRR4033427;South Africa;lineage 4;Sensitive;2013-06
SRR4033428;South Africa;lineage 4;Sensitive;2013-06
SRR4033429;South Africa;lineage 4;Sensitive;2013-06
SRR4033430;South Africa;lineage 4;Sensitive;2013-06
SRR4033431;South Africa;lineage 4;Sensitive;2013-06
SRR4033432;South Africa;lineage 4;Sensitive;2013-06
SRR4033433;South Africa;lineage 4;Sensitive;2013-06
SRR4033435;South Africa;lineage 4;Sensitive;2013-01
SRR4033436;South Africa;lineage 4;Sensitive;2013-06
SRR4033437;South Africa;lineage 4;Sensitive;2013-06
SRR4033438;South Africa;lineage 4;Sensitive;2013-06
SRR4033439;South Africa;lineage 4;Sensitive;2013-06
SRR4033440;South Africa;lineage 4;Sensitive;2013-06
SRR4033441;South Africa;lineage 4;Sensitive;2013-06
SRR4033442;South Africa;lineage 4;Sensitive;2013-06
SRR4033443;South Africa;lineage 4;Sensitive;2013-06
SRR4033444;South Africa;lineage 4;Sensitive;2013-06
SRR4033445;South Africa;lineage 4;Sensitive;2013-06
SRR4033446;South Africa;lineage 4;Sensitive;2013-01
SRR4033447;South Africa;lineage 4;Sensitive;2013-06
SRR4033448;South Africa;lineage 4;Sensitive;2013-06
SRR4033449;South Africa;lineage 4;Sensitive;2013-06
SRR4033450;South Africa;lineage 4;Sensitive;2013-06
SRR4033451;South Africa;lineage 4;Sensitive;2013-06
SRR4033452;South Africa;lineage 4;Sensitive;2013-06
SRR4033453;South Africa;lineage 4;Sensitive;2013-06
SRR4033454;South Africa;lineage 4;Sensitive;2013-06
SRR4033455;South Africa;lineage 4;Sensitive;2013-06
SRR4033456;South Africa;lineage 4;Sensitive;2013-06
SRR4033457;South Africa;lineage 4;Sensitive;2013-01
SRR4033458;South Africa;lineage 4;Sensitive;2013-06
SRR4033459;South Africa;lineage 4;Sensitive;2013-06
SRR4033460;South Africa;lineage 4;Sensitive;2013-06
SRR4033461;South Africa;lineage 4;Sensitive;2013-06
SRR4033462;South Africa;lineage 4;Sensitive;2013-06
SRR4033463;South Africa;lineage 4;Sensitive;2013-06
SRR4033464;South Africa;lineage 4;Sensitive;2013-06
SRR4033465;South Africa;lineage 4;Sensitive;2013-06
SRR4033466;South Africa;lineage 4;Sensitive;2013-06
SRR4033467;South Africa;lineage 4;Sensitive;2013-06
SRR4033468;South Africa;lineage 2;Sensitive;2013-01
SRR4033469;South Africa;lineage 4;Sensitive;2013-06
SRR4033470;South Africa;lineage 4;Sensitive;2013-06
SRR4033471;South Africa;lineage 4;Sensitive;2013-06
SRR4033472;South Africa;lineage 4;Sensitive;2013-06
SRR4033473;South Africa;lineage 4;Sensitive;2013-06
SRR4033474;South Africa;lineage 4;Sensitive;2013-06
SRR4033475;South Africa;lineage 4;Sensitive;2013-06
SRR4033476;South Africa;lineage 4;Sensitive;2013-06
SRR4033477;South Africa;lineage 4;Sensitive;2013-06
SRR4033478;South Africa;lineage 4;Sensitive;2013-06
SRR4033479;South Africa;lineage 2;Sensitive;2013-01
SRR4033480;South Africa;lineage 4;Sensitive;2013-06
